mysql> SELECT * FROM MenuPageClean WHERE menu_id NOT IN (SELECT id FROM menuclean);
+-------+---------+-------------+-----------------+-------------+------------+
| id    | menu_id | page_number | image_id        | full_height | full_width |
|   612 |   12614 |           2 | 4000009261      |        2700 |       1722 |
|   613 |   12614 |           3 | 4000009262      |        2668 |       1717 |
|   614 |   12614 |           4 | 4000009263      |        2703 |       1718 |
|   615 |   12614 |           5 | 4000009264      |        2691 |       1740 |
|   616 |   12614 |           6 | 4000009265      |        2665 |       1766 |
|   617 |   12614 |           7 | 4000009266      |        2667 |       1740 |
|   618 |   12614 |           8 | 4000009267      |        2724 |       1855 |
|   619 |   12614 |           1 | 466978          |        2784 |       1936 |
|   628 |   12616 |           2 | 4000009275      |        2281 |       1527 |
|   629 |   12616 |           3 | 4000009276      |        2312 |       1575 |
|   630 |   12616 |           4 | 4000009277      |        2574 |       1934 |
|   631 |   12616 |           1 | 466980          |        2579 |       1928 |
|   632 |   12617 |           2 | 4000009286      |        3008 |       1951 |
|   633 |   12617 |           1 | 466985          |        3000 |       1938 |
|   634 |   12618 |           2 | 4000009287      |        2910 |       2090 |
|   635 |   12618 |           1 | 466987          |        2920 |       2113 |
|   636 |   12619 |           2 | 4000009317      |        3574 |       2388 |
|   637 |   12619 |           1 | 466993          |        3596 |       2382 |
|   638 |   12620 |           2 | 4000009319      |        2820 |       1762 |
|   639 |   12620 |           1 | 466995          |        2805 |       1747 |
|   640 |   12621 |           2 | 4000009327      |        1792 |       2738 |
|   641 |   12621 |           1 | 467001          |        2760 |       1873 |
|   642 |   12622 |           2 | 4000009328      |        1852 |       2759 |
|   643 |   12622 |           1 | 467002          |        2766 |       1875 |
|   647 |   12624 |           2 | 4000008153      |        2615 |       1691 |
|   648 |   12624 |           1 | 475809          |        2622 |       1740 |
|   649 |   12625 |           2 | 4000008159      |        4848 |       3133 |
|   650 |   12625 |           1 | 475815          |        4949 |       3261 |
|   651 |   12626 |           2 | 4000008160      |        5611 |       3513 |
|   652 |   12626 |           3 | 4000008161      |        5559 |       3229 |
|   653 |   12626 |           4 | 4000008162      |        5644 |       3525 |
|   654 |   12626 |           1 | 475816          |        5614 |       3549 |
|   655 |   12627 |           2 | 4000008163      |        4580 |       2954 |
|   656 |   12627 |           1 | 475817          |        4617 |       2990 |
|   657 |   12628 |           2 | 4000008164      |        3133 |       2001 |
|   658 |   12628 |           1 | 475818          |        3108 |       2021 |
|   659 |   12629 |           2 | 4000008165      |        3328 |       2191 |
|   660 |   12629 |           1 | 475829          |        3388 |       2158 |
|   661 |   12630 |           2 | 4000008166      |        3666 |       2755 |
|   662 |   12630 |           1 | 475830          |        3661 |       2758 |
|   675 |   12632 |           2 | 4000001313      |        2910 |       1904 |
|   676 |   12632 |           3 | 4000001314      |        2896 |       1904 |
|   677 |   12632 |           4 | 4000001315      |        2896 |       1867 |
|   678 |   12632 |           1 | 474546          |        2880 |       1903 |
|   679 |   12633 |           2 | 4000001316      |        3236 |       2249 |
|   680 |   12633 |           3 | 4000001317      |        3082 |       2213 |
|   681 |   12633 |           4 | 4000001318      |        3402 |       2611 |
|   682 |   12633 |           1 | 474551          |        3527 |       2669 |
|   687 |   12635 |           2 | 4000000922      |        2122 |       1514 |
|   688 |   12635 |           1 | 474376          |        2144 |       1502 |
|   689 |   12636 |           2 | 4000000055      |        3495 |       2282 |
|   690 |   12636 |           3 | 4000000056      |        3518 |       2290 |
|   691 |   12636 |           4 | 4000000057      |        3551 |       2321 |
|   692 |   12636 |           1 | 476926          |        3531 |       2306 |
|   693 |   12637 |           2 | 4000002069      |        3302 |       2174 |
|   694 |   12637 |           1 | 474800          |        3293 |       2145 |
|   695 |   12638 |           2 | 4000013960      |        4633 |       2857 |
|   696 |   12638 |           3 | 4000013961      |        4659 |       2823 |
|   697 |   12638 |           4 | 4000013962      |        4675 |       2986 |
|   698 |   12638 |           1 | 471634          |        4674 |       3064 |
|   699 |   12639 |           2 | 4000013970      |        2991 |       1417 |
|   700 |   12639 |           3 | 4000013971      |        2974 |       1454 |
|   701 |   12639 |           4 | 4000013972      |        3005 |       1512 |
|   702 |   12639 |           1 | 471640          |        2995 |       1514 |
|   703 |   12640 |           2 | 4000013973      |        1494 |       1585 |
|   704 |   12640 |           3 | 4000013974      |        1452 |       1727 |
|   705 |   12640 |           4 | 4000013975      |        1478 |       1594 |
|   706 |   12640 |           5 | 4000013976      |        1461 |       1710 |
|   707 |   12640 |           6 | 4000013977      |        1465 |       1584 |
|   708 |   12640 |           7 | 4000013978      |        1456 |       2118 |
|   709 |   12640 |           1 | 471641          |        1466 |       2066 |
|   710 |   12641 |           2 | 4000013979      |        2574 |       1749 |
|   711 |   12641 |           1 | 471642          |        1724 |       2518 |
|   712 |   12642 |           2 | 4000013980      |        1443 |       1147 |
|   713 |   12642 |           3 | 4000013981      |        1414 |       1134 |
|   714 |   12642 |           4 | 4000013982      |        1457 |       1306 |
|   715 |   12642 |           1 | 471643          |        1452 |       1291 |
|   716 |   12643 |           2 | 4000013983      |        3611 |       2406 |
|   717 |   12643 |           3 | 4000013984      |        3735 |       2464 |
|   718 |   12643 |           4 | 4000013985      |        3729 |       2460 |
|   719 |   12643 |           5 | 4000013986      |        3703 |       2427 |
|   720 |   12643 |           6 | 4000013987      |        3734 |       2436 |
|   721 |   12643 |           7 | 4000013988      |        3619 |       2452 |
|   722 |   12643 |           8 | 4000013989      |        2572 |       3690 |
|   723 |   12643 |           1 | 471644          |        3703 |       2593 |
|   724 |   12644 |           2 | 4000013990      |        3016 |       1565 |
|   725 |   12644 |           3 | 4000013991      |        3034 |       1538 |
|   726 |   12644 |           4 | 4000013992      |        3035 |       1655 |
|   727 |   12644 |           1 | 471645          |        3043 |       1667 |
|   728 |   12645 |           2 | 4000008389      |        2897 |       1882 |
|   729 |   12645 |           3 | 4000008390      |        2875 |       1852 |
|   730 |   12645 |           4 | 4000008391      |        2879 |       1849 |
|   731 |   12645 |           1 | 466403          |        2915 |       1981 |
|   732 |   12646 |           2 | 4000008395      |        4166 |       2488 |
|   733 |   12646 |           1 | 466407          |        4155 |       2404 |
|   734 |   12647 |           2 | 4000008396      |        1839 |       2743 |
|   735 |   12647 |           1 | 466408          |        2767 |       1894 |
|   736 |   12648 |           2 | 4000008398      |        1813 |       2781 |
|   737 |   12648 |           1 | 466410          |        2785 |       1900 |
|   738 |   12649 |           2 | 4000008400      |        1955 |       1362 |
